2023-04-17 20:09:02,224 INFO    MainThread:21689 [wandb_setup.py:_flush():68] Configure stats pid to 21689
2023-04-17 20:09:02,225 INFO    MainThread:21689 [wandb_setup.py:_flush():68] Loading settings from /Users/christoszacharopoulos/.config/wandb/settings
2023-04-17 20:09:02,225 INFO    MainThread:21689 [wandb_setup.py:_flush():68] Loading settings from /Users/christoszacharopoulos/projects/dynamic_risk/src/wandb/settings
2023-04-17 20:09:02,225 WARNING MainThread:21689 [wandb_setup.py:_flush():68] Unknown environment variable: WANDB_SERVICE
2023-04-17 20:09:02,225 INFO    MainThread:21689 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-04-17 20:09:02,225 INFO    MainThread:21689 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'src/deployment_04.py', 'program': '/Users/christoszacharopoulos/projects/dynamic_risk/src/deployment_04.py'}
2023-04-17 20:09:02,225 INFO    MainThread:21689 [wandb_init.py:_log_setup():476] Logging user logs to /Users/christoszacharopoulos/projects/dynamic_risk/src/wandb/run-20230417_200902-60cnf6az/logs/debug.log
2023-04-17 20:09:02,225 INFO    MainThread:21689 [wandb_init.py:_log_setup():477] Logging internal logs to /Users/christoszacharopoulos/projects/dynamic_risk/src/wandb/run-20230417_200902-60cnf6az/logs/debug-internal.log
2023-04-17 20:09:02,225 INFO    MainThread:21689 [wandb_init.py:init():516] calling init triggers
2023-04-17 20:09:02,225 INFO    MainThread:21689 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2023-04-17 20:09:02,225 INFO    MainThread:21689 [wandb_init.py:init():569] starting backend
2023-04-17 20:09:02,225 INFO    MainThread:21689 [wandb_init.py:init():573] setting up manager
2023-04-17 20:09:02,226 INFO    MainThread:21689 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-04-17 20:09:02,228 INFO    MainThread:21689 [wandb_init.py:init():580] backend started and connected
2023-04-17 20:09:02,230 INFO    MainThread:21689 [wandb_init.py:init():658] updated telemetry
2023-04-17 20:09:02,248 INFO    MainThread:21689 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2023-04-17 20:09:02,716 INFO    MainThread:21689 [wandb_run.py:_on_init():2000] communicating current version
2023-04-17 20:09:02,767 INFO    MainThread:21689 [wandb_run.py:_on_init():2004] got version response upgrade_message: "wandb version 0.14.2 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-04-17 20:09:02,768 INFO    MainThread:21689 [wandb_init.py:init():728] starting run threads in backend
2023-04-17 20:09:04,314 INFO    MainThread:21689 [wandb_run.py:_console_start():1980] atexit reg
2023-04-17 20:09:04,314 INFO    MainThread:21689 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2023-04-17 20:09:04,315 INFO    MainThread:21689 [wandb_run.py:_redirect():1903] Wrapping output streams.
2023-04-17 20:09:04,315 INFO    MainThread:21689 [wandb_run.py:_redirect():1925] Redirects installed.
2023-04-17 20:09:04,315 INFO    MainThread:21689 [wandb_init.py:init():765] run started, returning control to user process
2023-04-17 20:09:08,687 INFO    MainThread:21689 [wandb_run.py:_finish():1746] finishing run christonikos/dynamic_risk_assesment/60cnf6az
2023-04-17 20:09:08,687 INFO    MainThread:21689 [wandb_run.py:_atexit_cleanup():1949] got exitcode: 0
2023-04-17 20:09:08,687 INFO    MainThread:21689 [wandb_run.py:_restore():1932] restore
2023-04-17 20:09:08,687 INFO    MainThread:21689 [wandb_run.py:_restore():1938] restore done
2023-04-17 20:09:15,944 INFO    MainThread:21689 [wandb_run.py:_footer_history_summary_info():3377] rendering history
2023-04-17 20:09:15,944 INFO    MainThread:21689 [wandb_run.py:_footer_history_summary_info():3409] rendering summary
2023-04-17 20:09:15,946 INFO    MainThread:21689 [wandb_run.py:_footer_sync_info():3333] logging synced files
